id | rms | ApprEnt | LZComp | mpf | sef
1 | 7.989369303992764e-06 4.847873907075321e-06 1.1436399836294928e-05 8.300059583062996e-06 1.5597481655497045e-05 7.060764614744186e-06 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 15.0 2.0 | 0 0 0 0 0 23 | 995 998 998 617 998 991 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 7.1897833202716916e-06 5.371783459718807e-06 8.104603717214718e-06 7.016352775180059e-06 1.0287439171728379e-05 1.3302158061062445e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 8.0 | 1 44 83 6 47 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 9.70419409624034e-06 5.9972220787600365e-06 7.787537900887462e-06 7.3780090847961515e-06 1.1344085310778083e-05 1.341406591769843e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 3.0 9.0 | 0 141 299 6 7 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 8.433695502630443e-06 4.2511305010854345e-06 6.602693906485024e-06 7.462008692118718e-06 1.2288894029925227e-05 6.292506662673274e-06 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 4.0 2.0 | 0 0 0 0 0 21 | 998 998 998 997 997 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.537180799936288e-06 3.0842682933768085e-06 4.8739845048757e-06 7.174859163996701e-06 1.1705953227253247e-05 7.125731621328635e-06 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 3.0 2.0 | 1 0 1 0 0 0 | 998 997 998 997 991 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.0539919717289745e-05 3.715083696207712e-06 5.853952241913275e-06 8.404092538740432e-06 1.0736664249455443e-05 7.601818839084803e-06 | 0.0 0.0 0.0 0.0 0.0 0.0 | 7.0 2.0 2.0 2.0 4.0 2.0 | 4 2 487 0 0 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.8343809776730094e-05 6.358241260075561e-06 6.613859463924992e-06 1.3586190198304678e-05 9.424281434940932e-06 1.1272853650248672e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 14.0 2.0 3.0 8.0 2.0 2.0 | 3 498 53 4 27 0 | 997 998 997 997 997 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.7362843158915375e-05 6.3532607262024805e-06 5.47628029110626e-06 1.3571921082759227e-05 9.541613890359381e-06 1.2965274289115521e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 11.0 2.0 4.0 10.0 2.0 2.0 | 12 460 80 15 366 1 | 996 998 997 996 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 8.34892856870973e-06 3.120373124282481e-06 3.488256453967839e-06 6.765831408234607e-06 9.657434736329176e-06 1.1488150660453511e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 4.0 2.0 2.0 4.0 2.0 2.0 | 104 118 367 34 15 6 | 997 997 998 997 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.0896961120483902e-05 7.778842208698773e-06 1.2760792529460962e-05 7.250160623025426e-06 1.6040632809923737e-05 1.0509030633302773e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 11.0 2.0 5.0 2.0 6.0 2.0 | 0 2 2 1 1 7 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.176228061479073e-05 1.609617324563889e-05 2.7037549744060382e-05 1.4135483342957774e-05 3.058937705615452e-05 1.9070395518934887e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 34.0 2.0 21.0 7.0 14.0 10.0 | 0 4 9 2 8 10 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.3197160603241706e-05 1.9595809965045834e-05 3.2161203940631926e-05 1.6392138305186888e-05 3.724728259442471e-05 2.3627531104051918e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 37.0 2.0 37.0 8.0 23.0 23.0 | 0 33 327 3 170 3 | 996 996 996 996 996 996 
id | rms | ApprEnt | LZComp | mpf | sef
