id | rms | ApprEnt | LZComp | mpf | sef
id | rms | ApprEnt | LZComp | mpf | sef
3 | 2.3229142742082308e-05 1.6311610027721453e-05 3.1228397223476185e-05 2.4931439826541834e-05 2.7886345960404e-05 1.692033314968091e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 56.0 13.0 66.0 29.0 70.0 32.0 | 2 0 0 2 76 331 | 988 998 995 998 969 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.950735082141358e-05 1.3185255497902517e-05 1.9769564912292048e-05 2.5088676888338906e-05 1.7827305166303577e-05 2.285027277894612e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 42.0 4.0 44.0 17.0 43.0 33.0 | 493 0 0 2 55 4 | 998 998 953 998 988 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 2.362053657735707e-05 9.573226963964463e-06 1.9006241028907733e-05 3.293927040800782e-05 1.4452263442539036e-05 2.8604505829803173e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 53.0 2.0 38.0 32.0 23.0 54.0 | 0 20 0 0 477 0 | 998 998 992 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 3.173417754957272e-05 1.951818218639351e-05 1.944397050083767e-05 6.169951132551346e-05 2.1755620886425895e-05 4.228933282006971e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 40.0 8.0 33.0 24.0 25.0 36.0 | 0 464 54 1 9 1 | 997 998 998 997 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 2.852974310556005e-05 1.8712115201092565e-05 2.1887879996191706e-05 5.8443712660263514e-05 2.3589611912695635e-05 4.014952021635447e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 21.0 8.0 46.0 16.0 39.0 21.0 | 1 129 21 1 66 2 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.5533285856919548e-05 1.1044425148750792e-05 2.5237139482659915e-05 1.507880283618863e-05 1.8604776382076436e-05 1.7361863421774428e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 16.0 3.0 62.0 17.0 37.0 24.0 | 0 0 0 56 84 54 | 997 997 985 998 997 997 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.3061919250997292e-05 9.801745642714112e-06 2.152652337943916e-05 1.217089028494509e-05 1.6738217696384775e-05 1.6327748657562588e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 10.0 4.0 39.0 6.0 28.0 20.0 | 0 0 0 50 366 49 | 993 998 998 998 998 994 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.0621945052105708e-05 7.025452434378585e-06 1.2486849994089545e-05 1.6392161824128037e-05 1.4949177712443462e-05 2.0471286720510484e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 8.0 2.0 10.0 10.0 22.0 32.0 | 47 90 66 0 61 3 | 993 998 996 997 991 993 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 8.772876000388508e-06 7.303685298082129e-06 1.2735258511131227e-05 1.6369601958082872e-05 1.4237814611538097e-05 2.074867388949441e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 5.0 12.0 19.0 37.0 | 49 58 48 0 210 0 | 982 998 998 998 996 959 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.4270653130154842e-05 2.441624144648762e-05 4.290672222061789e-05 2.362833326990566e-05 3.882755075760216e-05 2.5235717462085217e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 13.0 8.0 17.0 14.0 22.0 23.0 | 296 13 206 4 93 1 | 981 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 2.9199492253473646e-05 5.267317477008314e-05 7.166814669357963e-05 4.3988621639693436e-05 6.874455969744278e-05 8.648056373609863e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 51.0 19.0 39.0 29.0 48.0 9.0 | 141 2 4 109 3 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 3.805009215030566e-05 5.398066383855344e-05 0.00010623880289213793 5.377719727453321e-05 6.878421568374011e-05 9.193162386598155e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 83.0 39.0 44.0 43.0 74.0 31.0 | 56 492 7 366 405 0 | 996 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 3.9278412778219936e-05 3.576660050294907e-05 9.251924072854582e-05 5.5119422561433786e-05 4.2965876565558365e-05 5.1099054631474156e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 85.0 61.0 64.0 53.0 78.0 55.0 | 11 0 0 284 224 79 | 998 995 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 8.96802933986988e-05 5.451478121807174e-05 6.347534082806703e-05 9.101804462650597e-05 3.4019500181719455e-05 8.265491811045958e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 56.0 45.0 78.0 35.0 75.0 30.0 | 0 4 4 0 358 0 | 998 998 998 998 997 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 0.0001233889778826622 7.061763860374537e-05 6.429742472950004e-05 0.00011076710377743492 2.989106176404748e-05 9.961781177901973e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 14.0 19.0 54.0 6.0 56.0 4.0 | 0 0 0 0 376 0 | 652 996 997 745 996 52 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 9.269738723766756e-05 5.2294980280559286e-05 3.258826405252383e-05 7.73675775781753e-05 1.787715916417454e-05 6.901760383489263e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 23.0 15.0 50.0 20.0 37.0 31.0 | 0 0 99 0 114 0 | 998 998 998 998 997 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 3.041068792340332e-05 1.4430959759387987e-05 2.740290823532951e-05 3.991380557790009e-05 1.7813246819633624e-05 2.843606070675299e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 50.0 17.0 61.0 23.0 36.0 54.0 | 490 434 0 0 499 491 | 998 998 998 998 972 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 2.0157953752481435e-05 8.506362412703325e-06 2.736724630893696e-05 4.1830961361743424e-05 1.6687685360469404e-05 2.1771382585745184e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 41.0 4.0 68.0 41.0 28.0 44.0 | 0 4 0 0 498 0 | 970 994 955 0 962 953 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.3401987437646592e-05 6.050113528199624e-06 2.244732879323164e-05 3.0386160092224383e-05 1.4873325130617575e-05 1.8564517925601235e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 10.0 4.0 57.0 60.0 23.0 39.0 | 0 229 0 0 311 47 | 995 998 945 16 977 972 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.0183885660493405e-05 7.100411383385419e-06 2.000439572401408e-05 2.1573391340879317e-05 1.7608740584664975e-05 1.8978625606246783e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 6.0 2.0 47.0 28.0 32.0 38.0 | 124 390 0 0 315 55 | 998 997 982 998 976 997 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 8.660822615541459e-06 7.223374060701619e-06 1.810823389922058e-05 1.3990630235286405e-05 1.93796104868329e-05 1.8620784176370436e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 3.0 2.0 31.0 6.0 37.0 35.0 | 335 287 0 0 499 103 | 995 997 991 996 966 976 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.4961137851962922e-05 1.6284089828860562e-05 2.840150496606008e-05 1.5889853951314985e-05 1.8222910209327657e-05 1.861769618614046e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 22.0 21.0 37.0 18.0 37.0 38.0 | 498 488 399 269 499 246 | 997 989 957 998 957 984 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 2.3265784895982507e-05 3.370711048944453e-05 6.859413316803457e-05 4.3891915443577026e-05 2.6847980134207783e-05 2.3403578077751303e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 46.0 34.0 34.0 31.0 52.0 54.0 | 107 0 0 0 61 151 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 3.071941842935288e-05 4.9351214200548055e-05 8.11956106920375e-05 6.865698954249906e-05 2.9565344760265562e-05 3.54476898688722e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 63.0 30.0 26.0 39.0 70.0 61.0 | 1 0 0 0 53 0 | 997 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 2.8334844388044525e-05 4.187050873051432e-05 5.8336135135929585e-05 6.336088384675572e-05 2.6492618105898472e-05 3.791360703440198e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 51.0 32.0 57.0 37.0 67.0 67.0 | 377 5 372 365 497 470 | 998 998 998 998 996 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 2.1857607574257772e-05 1.5865652793455886e-05 3.826744516007813e-05 3.735458032940861e-05 2.5429884230275276e-05 2.7995015741001136e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 45.0 24.0 79.0 47.0 55.0 59.0 | 227 419 0 0 125 0 | 998 997 997 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 2.0038976929190688e-05 1.1652580270159178e-05 2.6826373515511242e-05 1.866440294427725e-05 2.1205532574238024e-05 2.0563222343695128e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 40.0 6.0 55.0 28.0 49.0 39.0 | 0 122 25 2 137 494 | 992 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.3592426180925824e-05 1.164628716583688e-05 1.4943380572458893e-05 7.071812335569916e-06 1.929954966378215e-05 1.9156330545172486e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 17.0 2.0 21.0 2.0 38.0 31.0 | 23 0 67 494 199 288 | 998 995 998 994 989 997 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 8.845054552407458e-06 9.587314992348856e-06 1.3051706241501886e-05 7.522813986084434e-06 1.9035247729385128e-05 1.8918086159343072e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 6.0 2.0 13.0 2.0 40.0 37.0 | 417 0 87 50 299 64 | 992 953 998 996 993 982 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 8.338680962581876e-06 1.0854044282589294e-05 1.3273437381818914e-05 9.357619026059431e-06 1.8052206124186312e-05 2.0220368092627518e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 10.0 2.0 32.0 38.0 | 436 0 45 0 499 54 | 989 962 998 977 988 979 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 7.761834867114578e-06 9.618766576818197e-06 1.3087360347441036e-05 9.115777267543487e-06 1.7908649153152523e-05 1.973215694797475e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 13.0 2.0 29.0 29.0 | 371 0 54 0 299 50 | 988 998 998 986 982 977 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 7.474029039055563e-06 6.770094732984665e-06 1.0282071211768628e-05 8.66870161417626e-06 1.6806266347096076e-05 1.6213520471350845e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 3.0 2.0 6.0 2.0 22.0 23.0 | 317 8 462 0 407 55 | 993 998 997 988 992 977 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 8.53779042242815e-06 7.265161571989119e-06 1.1571223608989814e-05 9.212506351297338e-06 2.012069622848524e-05 1.7945798790961096e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 4.0 2.0 10.0 2.0 32.0 26.0 | 309 47 134 48 489 70 | 994 996 994 998 979 980 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 9.313291817413215e-06 1.0126627614859036e-05 1.3061285371405108e-05 9.1839292605646e-06 2.2540296986537245e-05 2.091828675871787e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 14.0 2.0 44.0 40.0 | 252 0 457 61 388 85 | 995 998 998 998 974 979 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 9.428291227028275e-06 1.26882431219938e-05 1.3855338301411689e-05 9.585530721367307e-06 1.891576831507481e-05 2.1234520624914054e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 15.0 2.0 33.0 41.0 | 117 0 42 45 450 57 | 994 954 988 996 979 978 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 9.765635787241699e-06 1.0963129049202505e-05 1.3651466105683345e-05 8.339453049125358e-06 1.8980026127683135e-05 2.2804772776909575e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 3.0 2.0 13.0 2.0 30.0 45.0 | 441 0 42 60 206 48 | 998 993 986 996 983 990 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 8.763904535471446e-06 7.331217507883456e-06 1.2984071159082563e-05 6.204234961342964e-06 1.8934080766531757e-05 2.086026972121705e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 4.0 2.0 10.0 2.0 29.0 43.0 | 299 0 34 262 299 48 | 997 990 992 994 983 994 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 7.477266479572373e-06 7.587202698072564e-06 1.460133859465699e-05 5.405558715668405e-06 1.785420591616504e-05 1.7359675351472575e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 11.0 2.0 33.0 29.0 | 477 0 0 207 371 55 | 995 960 994 995 971 971 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 7.486949710074904e-06 1.0200419693779402e-05 1.5259766377711862e-05 5.274039150063692e-06 1.8522142133232565e-05 1.5911142791664215e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 15.0 2.0 30.0 24.0 | 143 0 0 299 245 60 | 995 951 991 995 996 973 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 8.893960785692741e-06 1.0503038832478558e-05 1.3606762181514325e-05 6.920217855676382e-06 1.6533318899756177e-05 1.4361805279066528e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 4.0 2.0 14.0 2.0 23.0 21.0 | 48 0 42 187 299 226 | 991 991 997 998 994 990 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 9.422313325445419e-06 1.2691078705766525e-05 1.598060962859942e-05 7.78403564667877e-06 1.6493257264494558e-05 1.667489024029157e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 5.0 2.0 21.0 2.0 25.0 27.0 | 48 0 0 458 115 88 | 989 998 998 998 971 989 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 9.18326188271538e-06 1.2136076695003911e-05 1.591542079076394e-05 7.377187211100759e-06 1.6697759148729843e-05 1.855502294941006e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 4.0 2.0 24.0 2.0 28.0 27.0 | 58 0 0 300 299 58 | 997 997 997 998 990 997 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 2.056779192118415e-05 1.8343876779790525e-05 2.3905985062038546e-05 1.7586868997069782e-05 1.636150292065193e-05 1.7919317317080237e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 34.0 25.0 38.0 26.0 27.0 31.0 | 427 381 454 477 429 448 | 996 997 997 998 996 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 2.219677900697926e-05 1.949513028417343e-05 2.5434975667229172e-05 1.81039686135885e-05 1.9628634914416807e-05 1.742291583057974e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 41.0 27.0 44.0 28.0 37.0 32.0 | 326 343 432 493 114 442 | 995 997 998 998 984 996 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.3364447261502273e-05 1.0313355101181313e-05 1.4178307835265158e-05 9.420502675664942e-06 1.993380919065708e-05 1.820904079280058e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 13.0 2.0 18.0 4.0 36.0 29.0 | 0 0 47 47 284 499 | 998 998 997 998 989 994 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.0935700517527747e-05 7.479579420858721e-06 1.1576354141269867e-05 8.334395126776694e-06 1.7978618696951977e-05 1.8250399868010987e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 9.0 2.0 9.0 2.0 32.0 32.0 | 53 0 132 26 124 143 | 997 988 996 996 977 991 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 9.903229741641111e-06 8.323831942719269e-06 1.2213660170207536e-05 7.055187779891774e-06 1.8055071024540777e-05 1.5404284878745438e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 4.0 2.0 12.0 2.0 30.0 20.0 | 52 0 299 421 342 156 | 982 956 996 998 982 979 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 8.84889291549568e-06 1.0321053812779734e-05 1.3377482397154446e-05 7.569934186125752e-06 1.9498599930492917e-05 1.4505097862874828e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 4.0 2.0 11.0 2.0 32.0 16.0 | 48 0 56 83 131 92 | 983 949 998 996 978 981 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 8.073229039920338e-06 9.51458535502509e-06 1.3513979589567895e-05 7.154230140675884e-06 1.8556463081588768e-05 1.544293308390882e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 12.0 2.0 25.0 19.0 | 81 0 26 153 95 123 | 992 995 998 996 980 991 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 7.470308368016537e-06 7.376522074564711e-06 1.1813225035439858e-05 5.968654453046283e-06 1.5048984935889723e-05 1.529586665372543e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 6.0 2.0 19.0 24.0 | 242 0 22 311 86 196 | 993 976 998 996 979 985 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 8.608525721662302e-06 8.51092111375189e-06 1.1765668560810239e-05 6.3648214181402416e-06 1.5964260441912287e-05 1.5843753782112473e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 3.0 2.0 7.0 2.0 21.0 23.0 | 106 0 55 348 338 89 | 987 983 992 997 987 986 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 9.561733090637964e-06 9.88367383521835e-06 1.1361470736300177e-05 6.219191185243351e-06 1.9311186255776703e-05 1.7443875240101117e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 4.0 2.0 8.0 2.0 38.0 26.0 | 55 0 187 458 86 60 | 979 953 994 997 987 976 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.0113655077389256e-05 1.0996574725988257e-05 1.1823961129241914e-05 6.8886551247935564e-06 1.9976952489771103e-05 1.8345310748817206e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 4.0 2.0 10.0 2.0 42.0 27.0 | 50 0 68 96 76 57 | 995 949 997 997 980 986 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.1172752297179344e-05 1.2273772356339987e-05 1.2280026232023456e-05 1.008342130053481e-05 1.6262348250995222e-05 1.6249669859544515e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 4.0 2.0 8.0 2.0 25.0 22.0 | 0 0 36 1 107 280 | 995 947 993 998 983 996 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.307737618199452e-05 1.2163286773310612e-05 1.1111768517688899e-05 1.0164300426790907e-05 1.6325262649165323e-05 1.6509514224927976e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 5.0 2.0 8.0 2.0 25.0 25.0 | 0 0 58 0 67 378 | 962 946 998 998 984 988 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.1319660442882816e-05 1.0759794105086531e-05 1.0206072542027988e-05 6.827904047459634e-06 1.906402113791834e-05 1.725654132089439e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 6.0 2.0 4.0 2.0 36.0 26.0 | 0 0 214 105 60 139 | 998 945 997 998 989 992 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 9.88916540118708e-06 1.171983612994451e-05 1.2426512449910096e-05 5.8803798245462695e-06 1.9460055362911812e-05 1.7910760794977387e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 5.0 2.0 7.0 2.0 38.0 33.0 | 48 0 52 469 125 108 | 994 950 998 998 986 991 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.2843078797289916e-05 1.2078810583066965e-05 1.3608588241380511e-05 8.875735648985414e-06 1.7347455183562173e-05 1.7523050760916498e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 9.0 2.0 11.0 2.0 28.0 31.0 | 1 0 48 2 166 457 | 996 955 998 998 964 996 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.2222038563232056e-05 1.0725076045285628e-05 1.2356320390836845e-05 9.56549504540818e-06 1.825764960514503e-05 1.619414361273071e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 11.0 2.0 11.0 2.0 23.0 21.0 | 2 0 56 43 426 269 | 997 952 995 998 988 996 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.2384332844033927e-05 1.0568676103608649e-05 1.2799037526821657e-05 8.500675636582305e-06 2.172782650741588e-05 1.8389433609530056e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 7.0 2.0 11.0 2.0 38.0 30.0 | 0 0 67 66 299 60 | 981 952 989 998 988 989 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.3775073520516306e-05 9.971185014079669e-06 1.2892723752871392e-05 9.789731676596981e-06 2.0339266684781124e-05 2.0092326107731852e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 12.0 2.0 12.0 5.0 36.0 35.0 | 0 0 83 46 435 58 | 966 956 990 992 991 981 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.3129532834530396e-05 9.66397158893275e-06 1.6007916679103346e-05 1.0205651481525458e-05 1.991328501994916e-05 1.8638714830788122e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 10.0 2.0 20.0 8.0 30.0 37.0 | 34 0 53 47 372 75 | 981 962 992 985 981 982 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.1919020164851192e-05 9.833903646427062e-06 1.6687141087126744e-05 8.795827789424085e-06 1.896507577829728e-05 1.71759956832587e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 6.0 2.0 21.0 5.0 30.0 29.0 | 38 0 40 106 468 149 | 981 962 992 997 981 984 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.1373871904891109e-05 1.077403584205025e-05 1.39653876744e-05 7.70429686633447e-06 1.9896133297342342e-05 1.9338533239279447e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 5.0 2.0 12.0 2.0 34.0 39.0 | 42 0 46 495 470 319 | 974 964 995 995 982 975 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.0942720756149682e-05 1.1039362021079544e-05 1.3666254781783762e-05 7.581170105102738e-06 2.1646972972793858e-05 1.9580961824730046e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 7.0 2.0 9.0 2.0 43.0 40.0 | 49 0 52 467 348 463 | 989 957 993 995 985 978 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 9.6855378489478e-06 1.029592375671281e-05 1.4357162161906182e-05 7.581633231963675e-06 1.9129579934304967e-05 1.796621143922132e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 5.0 2.0 17.0 2.0 31.0 33.0 | 57 0 45 495 411 278 | 989 957 990 998 985 988 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.1090808713309317e-05 1.0581325855995852e-05 1.4374304657033816e-05 8.097275084041985e-06 1.8139850176278512e-05 1.855563268708235e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 8.0 2.0 19.0 2.0 25.0 33.0 | 49 0 41 498 299 328 | 998 955 987 997 971 994 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.1114997390205044e-05 1.0902249342548433e-05 1.3933977267934337e-05 8.133415195745306e-06 1.86818042926509e-05 1.9493507500585906e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 8.0 2.0 12.0 4.0 28.0 37.0 | 51 0 13 477 499 350 | 998 954 989 995 983 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.220139958961536e-05 1.1343938371115982e-05 1.4821033789397168e-05 1.2454095229729496e-05 1.6273654269920913e-05 1.846029549178744e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 11.0 2.0 16.0 7.0 30.0 36.0 | 87 0 42 15 293 486 | 997 998 998 998 986 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.4821229789789387e-05 9.813482232595922e-06 1.3165393776664791e-05 1.5975376418125225e-05 1.3008046325429707e-05 1.6843637513407822e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 12.0 2.0 15.0 9.0 15.0 29.0 | 4 0 61 1 445 63 | 997 998 997 998 995 997 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.2626642111756726e-05 7.959684897074856e-06 1.0817659700462016e-05 1.2241374123563354e-05 1.6121772947846164e-05 1.663194008059692e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 6.0 2.0 6.0 7.0 21.0 28.0 | 8 0 263 29 326 401 | 998 998 998 998 987 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 9.443654464038259e-06 9.223178111452612e-06 1.0983224275814743e-05 6.582903865543238e-06 1.7568178405997615e-05 1.7239291649319433e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 9.0 2.0 33.0 27.0 | 51 0 475 490 106 65 | 972 989 992 998 975 974 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 9.077497641186923e-06 9.830034219549561e-06 1.1902287710535e-05 6.756962701548968e-06 1.7873131482499936e-05 1.7270488827828166e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 8.0 2.0 26.0 30.0 | 52 0 206 108 94 64 | 965 953 995 990 981 968 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.1471514843329223e-05 9.498433593944963e-06 1.2778584450998833e-05 8.099680310564862e-06 1.8499574986901387e-05 1.7635491670848752e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 5.0 2.0 11.0 2.0 33.0 30.0 | 24 0 92 62 97 488 | 987 977 998 998 982 994 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.187783463836575e-05 9.074596516682917e-06 1.2070577526598323e-05 8.111752698607553e-06 1.8519811596600296e-05 1.9170918642235094e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 8.0 2.0 11.0 2.0 33.0 31.0 | 43 0 84 90 299 316 | 994 956 997 998 982 993 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 9.35939194388113e-06 8.703923212961247e-06 1.197155316683404e-05 7.302520742272913e-06 1.9423532988719495e-05 1.84477014612727e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 6.0 2.0 9.0 4.0 34.0 28.0 | 53 0 57 148 147 426 | 988 950 992 998 973 975 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 9.235327305980742e-06 7.528302293725448e-06 1.1638915163631345e-05 7.487471800505252e-06 1.8678100445958452e-05 1.6324141750250536e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 4.0 2.0 11.0 4.0 28.0 23.0 | 49 0 61 0 149 436 | 983 953 994 986 960 974 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 9.971368059127624e-06 8.310234445285783e-06 1.0555961432313372e-05 6.317727477136434e-06 1.789143603608709e-05 1.6091554092035125e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 7.0 2.0 28.0 24.0 | 7 0 70 85 499 244 | 982 975 989 998 957 972 
id | rms | ApprEnt | LZComp | mpf | sef
